nm,HL,LL,HL_2,LL_2,HL_UB,HL_LB,LL_UB,LL_LB
624,5.23E-09,1.46E-08,6.57E-09,1.84E-08,5.62054E-09,4.83295E-09,1.523E-08,1.387E-08
625,5.29E-09,1.51E-08,6.71E-09,1.85E-08,5.64654E-09,4.94138E-09,1.573E-08,1.445E-08
626,5.53E-09,1.54E-08,6.78E-09,1.86E-08,5.8248E-09,5.23029E-09,1.618E-08,1.468E-08
627,5.58E-09,1.56E-08,6.69E-09,1.85E-08,5.81689E-09,5.3353E-09,1.631E-08,1.490E-08
628,5.58E-09,1.56E-08,6.60E-09,1.82E-08,5.81021E-09,5.34502E-09,1.635E-08,1.490E-08
629,5.80E-09,1.57E-08,6.72E-09,1.77E-08,6.08429E-09,5.51725E-09,1.646E-08,1.501E-08
630,5.94E-09,1.57E-08,6.92E-09,1.76E-08,6.27441E-09,5.60019E-09,1.628E-08,1.508E-08
631,6.15E-09,1.58E-08,6.74E-09,1.72E-08,6.48257E-09,5.82116E-09,1.638E-08,1.521E-08
632,6.27E-09,1.59E-08,6.76E-09,1.76E-08,6.60145E-09,5.94757E-09,1.618E-08,1.554E-08
633,6.29E-09,1.60E-08,6.71E-09,1.71E-08,6.64117E-09,5.94746E-09,1.645E-08,1.550E-08
634,6.25E-09,1.61E-08,6.80E-09,1.66E-08,6.62739E-09,5.86697E-09,1.614E-08,1.596E-08
635,6.25E-09,1.60E-08,6.71E-09,1.64E-08,6.56287E-09,5.9326E-09,1.614E-08,1.588E-08
636,6.24E-09,1.63E-08,6.52E-09,1.65E-08,6.57854E-09,5.90408E-09,1.655E-08,1.604E-08
637,6.24E-09,1.65E-08,6.55E-09,1.68E-08,6.7577E-09,5.72274E-09,1.702E-08,1.593E-08
